tweet_id,author,account_category,publish_date,content
381974,KARENPARKER93,RightTroll,2015-09-06 16:31:00,I'm here to connect all #races in #America. #DumbGenieWishes
56009,DD_MERR,Fearmonger,2015-11-15 03:42:00,#DemnDebate I'm sick of these militarist Democratic idiots! Why should America rely on military power only!?
95976,DEUSXYX,RightTroll,2016-02-18 10:06:00,Meghan Trainor - Meghan Trainor - Like I'm Gonna Lose You ft. John https://t.co/LGyMfNJrUZ #WakeUpAmerica #teaparty #tcot
123786,DONNIELMILLER,HashtagGamer,2017-04-22 09:27:00,I'm spending my life trying not to rAise idiots #ThingsToBeAshamedOf  We are gonna go down with our dumbasses! Jackass American leaders
127166,DOROTHIEBELL,RightTroll,2016-11-09 00:02:00,I'm the voice of the working Americans. #Trump2k16 #TrumpForPresident
127167,DOROTHIEBELL,RightTroll,2016-11-09 00:02:00,I'm the voice of the working Americans. #Trump2k16 #TrumpForPresident
144580,EAZON_TRAP,Fearmonger,2015-11-15 03:23:00,#DemnDebate O'Malley's views on foreign policy: I'm another militarist who wants more taxdollars and more dead Americans
146571,EDMUNDRJR,LeftTroll,2016-02-02 12:58:00,I'm proud to be black. #BlackHistoryMonth #AmericanHistoryIsBlack
235732,EXQUOTE,Commercial,2015-07-12 05:09:00,http://t.co/v7JFydowwz If I ever need a good workout I'm going to see again @Americas_Secret @NorthfistOriain @VP_Luu @1moneymook @Haeklips
243738,EXQUOTE,Commercial,2015-07-18 14:02:00,"http://t.co/5JcZ3zFZGr I'm gonna say my prayers, take my vitamins, and workout while listening to real american @dudley_devon @ABmusic82"
254068,EXQUOTE,Commercial,2015-07-30 11:59:00,http://t.co/WYWFvoYequ Lack of exercise has taken a toll on me and I'm just grumpy @BenjaminMerry @KylieSmiley84 @americapoof @mallos1
282835,EXQUOTE,Commercial,2015-08-03 19:09:00,'@AmericanDebate I'm going to go out with my little sis to fitness and exercise http://t.co/giJuCkijDu @shareingan @Linhmtf @gandabherunda'
298454,FIGHTTORESIST,LeftTroll,2017-11-09 21:15:00,"It's time to pass the #DreamActNow People earned the right to call themselves American citizen, and I'm sure they will be better citizens than nazis we have now"
298581,FIGHTTORESIST,LeftTroll,2018-02-10 19:01:00,"Anyone decent #CouldBeatTrumpIn2020 because I'm sure people don't want more Trump. Americans will not repeat the same mistake and let's see the record number of voters, especially young ones!"
300620,FINDDIET,Commercial,2015-07-16 11:51:00,http://t.co/jTp4Cm8Cee I'm easily attracted to girls who workout. @Camp_Jansson @Ar_Handy @foodpornlegal @americapoof @JoseTeka @BaddieShai
302192,FINDDIET,Commercial,2015-07-19 16:23:00,http://t.co/L24KfuixlO I'm down af for a workout sesh @GhostlyFoxGirl @DailyHealthTipp @ErinSatie @GourmetRayA @AmericanHeart5 @kathchooo
303888,FINDDIET,Commercial,2015-07-23 14:44:00,http://t.co/4w2LfNjXeP I'm gonna get fat if I don't stop lmao!! @madison_trahan @cactiamerica @GRACIELA_HAYS79 @_samanthaleeee @aylarox_
307026,FINDDIET,Commercial,2015-07-25 03:46:00,http://t.co/MkVbbVyCxt I'm never gonna lose weight seeing retweets @LindysBrews @usastarz_emma @ErinIsLooney @mikemacman21 @AmericanAllison
322671,FINDDIET,Commercial,2015-08-03 18:19:00,'@briadazey I'm so ready to get released so I can actually workout again! http://t.co/orBie5PmTC @AmericanPie88 @bevhayes1 @AlyssaMarchewka'
360578,FUNDDIET,Commercial,2015-07-06 19:09:00,http://t.co/OTCi6HkrEB No wonder I'm so fat @diegoAmerica8 @ASKYOMOMMA1 @dannilikes @MegA_lowTide @BradBenson7 @justinlaflare @memetaehyung
92007,CANDEYCHANEY,HashtagGamer,2016-04-06 14:18:00,#IAmNotThePresidentBecause I'm not gonna make America great again
252084,CLIFTONHUGHES_,LeftTroll,2015-03-10 21:20:00,"Oh my gosh!!!, I'm too sorry!!!! That`s just insane!!! #phosphorusdisaster  in American Falls"
252154,CLIFTONHUGHES_,LeftTroll,2015-03-10 22:09:00,what if government wanted to poison native americans?? I'm afraid that it'll finally go wrong!! #phosphorusdisaster
280384,COVFEFENATIONUS,RightTroll,2017-11-10 05:08:00,AMERICA IS BACK!! What a difference a year makes. I'm also with her as she has much more class and is stunning. ððºð¸ðºð¸ðºð¸ https://t.co/quBBLC4QwB
290496,COVFEFENATIONUS,RightTroll,2017-11-25 19:33:00,"""I'm certainly thankful for the incredible privilege of serving this president &amp; the American people."" â @PressSec  https://t.co/MzQ730vU4a https://t.co/PRFnDxs4Za"
305425,CRYSTAL1JOHNSON,LeftTroll,2016-12-12 21:28:00,"""I'm Santa Claus. I just happen to look like them, and they can relate to that.""  Meet the @mallofamerica's first-ever black Santa Claus ï¿½ï¿½: https://t.co/KTV8mFxS5m"
